term,genes,logFC_TR,logFC_gene
Cebpb,Icosl,0.0,1.35928357884735
Cebpb,Mgat3,0.0,1.15403424239312
Cebpb,Fbln5,0.0,2.60466892896043
Cebpb,Rhobtb3,0.0,-1.58666365178498
Cebpb,Clec3b,0.0,-2.98816998754897
Cebpb,Tmc7,0.0,-1.08482337626656
Cebpb,Kpna3,0.0,-1.11325245966936
Cebpb,Rtn2,0.0,-2.1130179131002502
Cebpb,Camk2n1,0.0,2.06631650912027
Cebpb,Me1,0.0,-0.9017070568840408
Cebpb,Cd109,0.0,2.42660773840739
Cebpb,Tmem140,0.0,8.12745866875219
Cebpb,Reep5,0.0,-0.82655870983451
Cebpb,Pcp4l1,0.0,1.22628842982447
Cebpb,Endog,0.0,-1.08184052654559
Cebpb,Fjx1,0.0,-0.769956926848578
Cebpb,Slc43a3,0.0,1.78217639643375
Cebpb,Anapc4,0.0,-1.04235672959883
Cebpb,Rab33b,0.0,-1.17903493542074
Cebpb,Lgals1,0.0,-1.54010620489798
Cebpb,Igfbp4,0.0,-1.3041182281371295
Cebpb,Tmem47,0.0,-0.824201828162708
Cebpb,Fcgr2b,0.0,4.739663296955441
Cebpb,Zrsr1,0.0,1.25762594342272
Cebpb,Gsta4,0.0,-0.579872402613575
Cebpb,Calr,0.0,-0.654582415622124
Cebpb,Tmsb4x,0.0,1.66124518294533
Cebpb,Gstt3,0.0,-1.1779711855041102
Cebpb,Tmem176a,0.0,0.78425791945752
Cebpb,Socs3,0.0,5.4946754004736515
Cebpb,Apip,0.0,-1.19141577805891
Cebpb,Tgm2,0.0,1.86225322668802
Cebpb,Vamp1,0.0,1.38004924444526
Cebpb,Rasgrf2,0.0,9.384037811246893
Cebpb,Mvp,0.0,1.02406806848071
Cebpb,Agap3,0.0,1.00657490112112
Cebpb,Tnfaip6,0.0,-1.64079640893523
Cebpb,Erbin,0.0,1.09413653489855
Cebpb,Gfra1,0.0,0.961575595917075
Cebpb,Gng12,0.0,0.927816888105086
Cebpb,H2-d1,0.0,1.72429723363255
Cebpb,Map7d1,0.0,0.908929099350462
Cebpb,Tmem9,0.0,-1.11165163098809
Cebpb,Tmem135,0.0,-0.913268670783139
Cebpb,Eps15,0.0,-1.08785648980282
Cebpb,Stat3,0.0,1.3668596545480298
Cebpb,Ncan,0.0,-0.992477641760996
Cebpb,Zc3hav1,0.0,1.6832293486397705
Cebpb,Cic,0.0,0.804834952404368
Cebpb,Wfs1,0.0,0.74391000129034
Cebpb,Atf4,0.0,1.41178457225921
Cebpb,Polr3h,0.0,-1.1883885785194
Cebpb,Tm9sf3,0.0,-0.700912059077705
Cebpb,Irf1,0.0,4.83797241645297
Cebpb,Rtp4,0.0,3.09431556871198
Cebpb,Ifrd1,0.0,1.3652250445024898
Cebpb,Osmr,0.0,4.07971997109687
Cebpb,Spcs2,0.0,-0.786236938929996
Cebpb,Tuba4a,0.0,-0.9561812419570508
Cebpb,Asrgl1,0.0,-0.742207158653231
Cebpb,Eif3f,0.0,0.9411786741913792
Cebpb,Cacna2d3,0.0,1.68341948083283
Cebpb,Map1lc3b,0.0,0.887859371180114
Cebpb,Hadh,0.0,-0.6953391990294799
Cebpb,Nap1l1,0.0,-0.942731559037019
Cebpb,Senp8,0.0,-12.1880133888886
Cebpb,Akap13,0.0,4.4324970116119005
Cebpb,Shisa9,0.0,-1.65609422886204
Cebpb,Nupr1,0.0,3.95388290359632
Cebpb,Saa3,0.0,11.1665523185731
Cebpb,Zyx,0.0,1.97092291436707
Cebpb,Carhsp1,0.0,0.891035902155907
Cebpb,Slc39a14,0.0,1.92434215454566
Cebpb,G6pc3,0.0,-1.04504177521596
Cebpb,Prkag1,0.0,-0.7959803054812721
Cebpb,Arpc1b,0.0,1.65378200746984
Cebpb,Ucp2,0.0,0.875178214922235
Cebpb,Hacd3,0.0,-1.05525009548104
Cebpb,Rcn2,0.0,-0.834667340732321
Cebpb,Lgals3bp,0.0,1.62471911734506
Cebpb,Lrg1,0.0,11.588549376058399
Cebpb,Fkbp5,0.0,2.9158965700015496
Cebpb,Gadd45b,0.0,3.0139778847137704
Cebpb,Mt1,0.0,1.18984683902556
Cebpb,Adamts1,0.0,2.2807212620749504
Cebpb,Usp18,0.0,3.38654995151952
Cebpb,Cdc42ep1,0.0,0.752651895034729
Cebpb,Rgl1,0.0,1.44822724280793
Cebpb,Slc35b2,0.0,-1.19083930589571
Cebpb,Mboat2,0.0,-0.989395319948515
Cebpb,Brd2,0.0,1.4230071474082802
Cebpb,Echdc3,0.0,-2.25725929885458
Cebpb,Cdc42se1,0.0,1.0875067012695
Cebpb,Lcn2,0.0,12.371630276885801
Cebpb,Frem2,0.0,10.3335232968371
Cebpb,Cd14,0.0,9.002505156798222
Cebpb,Prkag2,0.0,-0.9332497804158872
Cebpb,Asxl1,0.0,3.91570699640068
Cebpb,A730017l22rik,0.0,8.52023416937863
Cebpb,Mark3,0.0,0.831399144860965
Cebpb,Hjurp,0.0,-6.716217044168861
Cebpb,Mylk,0.0,2.16831970592494
Cebpb,Irf9,0.0,1.8066570150655
Cebpb,Snrk,0.0,-0.8827269161175602
Cebpb,Galr3,0.0,12.2206041016522
Cebpb,Kcna1,0.0,0.911438935458576
Cebpb,Pdxdc1,0.0,0.7213091312381321
Cebpb,Ndufa11,0.0,-0.6897096135165199
Cebpb,Clcf1,0.0,9.961745704909973
Cebpb,Ip6k1,0.0,0.897437566880025
Cebpb,Hap1,0.0,1.52078762141199
Cebpb,Tle1,0.0,1.73221570133418
Cebpb,Plekhm2,0.0,0.974881812391354
Cebpb,Junb,0.0,4.59355025649866
Cebpb,Dctd,0.0,-2.30823656137545
Cebpb,Amigo2,0.0,3.79732501932113
Cebpb,Endou,0.0,2.9540671227066
Cebpb,Slc25a34,0.0,1.6557963088426102
Cebpb,Lgals3,0.0,1.2972872054254598
Cebpb,Naxd,0.0,-0.80125570965034
Cebpb,Myo18a,0.0,0.880037533952114
Cebpb,Zfp503,0.0,-1.06140952190369
Cebpb,Dhrs7b,0.0,-1.34937333170502
Cebpb,Gbp2,0.0,3.56779344650008
Cebpb,Btbd3,0.0,-1.08567802849281
Cebpb,Slc25a18,0.0,-0.8570219948806159
Cebpb,Ergic3,0.0,-0.6943674669140429
Cebpb,Calm3,0.0,-0.728592497650667
Cebpb,Tnfrsf1a,0.0,1.23743729810914
Cebpb,Hspb6,0.0,1.85656933268249
Cebpb,Larp1b,0.0,1.86348899339053
Cebpb,Ppp1r15a,0.0,1.62271128047169
Cebpb,Capg,0.0,1.58854724194403
Cebpb,Ntsr2,0.0,-0.961959714372686
Cebpb,Slc1a4,0.0,0.614568063128815
Cebpb,Camta1,0.0,1.1611487488833898
Cebpb,Tmem147,0.0,-0.88133924109286
Cebpb,Car14,0.0,-0.903226962520854
Cebpb,Unc13a,0.0,1.2978895053918
Cebpb,Pfkl,0.0,-0.8563960779573171
Cebpb,Col4a2,0.0,1.81049989905551
Cebpb,Psmb8,0.0,3.0448544001234
Cebpb,Synpo,0.0,1.74481631429092
Cebpb,Midn,0.0,1.05014803637735
Cebpb,Peg13,0.0,0.961598556872005
Cebpb,Pnpo,0.0,1.3632176380754295
Cebpb,Angptl4,0.0,4.947794480935981
Cebpb,Ptgr2,0.0,-0.9628997557836372
Cebpb,Eef1a2,0.0,0.891475641326672
Cebpb,Rhof,0.0,8.74720842503346
Cebpb,Sc5d,0.0,-0.65105837035398
Cebpb,Fam92b,0.0,-7.7064822179356085
Cebpb,Nkain4,0.0,-0.903358389947918
Cebpb,Hip1,0.0,1.03742483781375
Cebpb,Eef2k,0.0,1.13785269101041
Cebpb,Ctnna2,0.0,-1.03182063991214
Cebpb,Def8,0.0,-0.82479100470048
Cebpb,Rarg,0.0,1.5896519601641002
Cebpb,Tmem33,0.0,-1.00162072735205
Cebpb,Erp29,0.0,-0.7390299499039841
Cebpb,Hlf,0.0,-1.07635163334953
Cebpb,Neat1,0.0,1.96061929801427
Cebpb,Cstf2t,0.0,-0.7489993469268259
Cebpb,Cuedc2,0.0,-0.8588991915896671
Cebpb,Col23a1,0.0,-0.7393322295944621
Cebpb,C4b,0.0,0.8629294530656328
Cebpb,Ptp4a2,0.0,0.916138930499055
Cebpb,Prkcd,0.0,2.08131250529592
Cebpb,Triobp,0.0,0.835743528587376
Cebpb,H2-k1,0.0,1.21004725824675
Cebpb,Pamr1,0.0,-1.60192896072359
Cebpb,S1pr1,0.0,-0.745615569057519
Cebpb,Cd302,0.0,2.1235153743241297
Cebpb,Mdk,0.0,-0.745949177132763
Cebpb,Farp1,0.0,0.8214703210374509
Cebpb,Sirpa,0.0,-1.12213278492556
Cebpb,Ttll9,0.0,10.6856363187125
Cebpb,Mprip,0.0,0.7106351234667679
Cebpb,Omg,0.0,-1.07950220706366
Cebpb,Txndc5,0.0,-0.998797927501698
Cebpb,Hdac2,0.0,-0.9716721473155228
Cebpb,Fgfr1,0.0,0.666681748495448
Cebpb,Phgdh,0.0,-1.70222422718767
Cebpb,Ctnna1,0.0,0.662517628801597
Cebpb,Tppp,0.0,-0.8953549740630871
Cebpb,Vhl,0.0,-0.890405658506843
Cebpb,Lcat,0.0,-1.4602200408665702
Cebpb,Arl5c,0.0,-6.26012003149994
Cebpb,Eif4g1,0.0,0.655565011546338
Cebpb,Lrig1,0.0,0.7994297597864799
Cebpb,Qdpr,0.0,-1.19265487481533
Cebpb,Timp1,0.0,6.605256603061662
Cebpb,Asna1,0.0,-0.8388140312573241
Cebpb,Apln,0.0,-1.10338197066874
Cebpb,Parp3,0.0,1.35493657728559
Cebpb,Vta1,0.0,-0.939219755629923
Cebpb,Ndufs7,0.0,-0.813065802754213
Cebpb,Tapbp,0.0,0.8629029076525558
Cebpb,Akap2,0.0,1.47823920986839
Cebpb,Adcy2,0.0,-0.987960799029916
Cebpb,Lamc1,0.0,1.07311905534781
Cebpb,Btbd1,0.0,-0.730019106028105
Cebpb,Sbsn,0.0,9.923614269587961
Cebpb,Ifi204,0.0,11.264922485917802
Cebpb,Ifit3,0.0,1.80493792566847
Cebpb,Icam1,0.0,4.63111401870137
Cebpb,Bcl3,0.0,3.0160049342959603
Cebpb,Idh2,0.0,0.730722781005991
Cebpb,2900097c17rik,0.0,1.24801985811977
Cebpb,Ablim2,0.0,-0.755083428478918
Cebpb,Capn2,0.0,1.10347879209479
Cebpb,Amt,0.0,-1.49589428368523
Cebpb,Vim,0.0,1.04283160254037
Cebpb,Dhrs1,0.0,0.8295968326884221
Cebpb,Mat2a,0.0,-1.40528829593456
Cebpb,A4galt,0.0,8.93124873671773
Cebpb,Rnf7,0.0,-1.38464893149645
Cebpb,Tspan3,0.0,-0.717520795614016
Cebpb,Mbnl2,0.0,1.24560276236385
Cebpb,Fat3,0.0,-1.49146726649991
Cebpb,Bcl2l1,0.0,1.56188618599478
Cebpb,Pygb,0.0,-0.5939615200130761
Cebpb,Gja1,0.0,-0.821549004843463
Cebpb,Mgll,0.0,-1.03205842204148
Cebpb,Mtmr3,0.0,0.8140370873435301
Cebpb,Pgm5,0.0,-1.23400763119226
Cebpb,Mxra7,0.0,-1.42258198017363
Cebpb,Pros1,0.0,0.873338957220894
Cebpb,Cdkn1a,0.0,2.6019394154614903
Cebpb,Insig1,0.0,-0.860140111025269
Cebpb,Atl2,0.0,-0.759816515750407
Cebpb,Hhatl,0.0,-1.50553915289409
Cebpb,Irak3,0.0,11.132487163413598
Cebpb,Ppp1r3g,0.0,-1.81536893998912
Cebpb,Dusp4,0.0,11.919451844135699
Cebpb,Entpd6,0.0,-1.34187967683492
Cebpb,Myo1c,0.0,2.0591828554543703
Cebpb,Hrct1,0.0,11.8737013234065
Cebpb,Steap4,0.0,11.746752203133399
Cebpb,Stim1,0.0,1.3939442068072798
Cebpb,Lman2l,0.0,-1.45624287262052
Cebpb,Kcnc3,0.0,1.60390131034337
Cebpb,Taldo1,0.0,-0.744001609511929
Cebpb,Aplnr,0.0,-2.5727077075754
Cebpb,Tinagl1,0.0,10.6386377797806
Cebpb,Ccnh,0.0,-1.37639440518801
Cebpb,1700025g04rik,0.0,1.95503389419332
Cebpb,Enoph1,0.0,-0.9878786274372752
Cebpb,Nit1,0.0,-1.30025118105285
Cebpb,Fbxo2,0.0,-1.15840251351224
Cebpb,Plxnd1,0.0,2.17155507555361
Cebpb,Paqr8,0.0,-0.6312212353768821
Cebpb,Ank,0.0,-1.1346454359551998
Cebpb,Agpat5,0.0,-0.768062984952783
Cebpb,Tgm1,0.0,10.1166466916957
Cebpb,Lmf1,0.0,-1.06940506072622
Cebpb,Mlh3,0.0,-1.86522921547867
Cebpb,Cadm3,0.0,0.895550273082557
Cebpb,Tmem205,0.0,-0.9653970395309952
Cebpb,Dnm1,0.0,1.5726654814258605
Cebpb,Hdac7,0.0,2.7228768354182296
Cebpb,Ctsl,0.0,1.65724901625072
Cebpb,Gpd1,0.0,-0.8316041198850059
Cebpb,Bag1,0.0,0.8804687455045491
Cebpb,Dbi,0.0,-0.7848862193645291
Cebpb,Aldh1l1,0.0,0.6522892071695879
Cebpb,Ptprd,0.0,-0.7985554840154592
Cebpb,Gabarapl1,0.0,0.698879635652308
Cebpb,Thrsp,0.0,-1.48317975782157
Cebpb,Nf2,0.0,1.63555732440299
Cebpb,Snapc2,0.0,1.16991598423527
Cebpb,Hspb1,0.0,5.06801252327358
Cebpb,Sncb,0.0,1.2429071351387602
Cebpb,Chid1,0.0,-1.33717907206924
Cebpb,Itm2c,0.0,-0.8711544237275849
Cebpb,Fam241a,0.0,10.8448927146647
Cebpb,Shisa5,0.0,1.5300860626164698
Cebpb,Tead3,0.0,1.25984275814486
Cebpb,Tecr,0.0,-0.647781527935515
Cebpb,Dhcr7,0.0,-1.14849241913725
