Gene.Symbol,Refseq_ID,logFC
Fnta,Fnta,-0.769047145894973
Fjx1,Fjx1,-0.769956926848578
Fez1,Fez1,-0.770043475677259
Slc44a1,Slc44a1,-0.771875878282109
Ndufc2,Ndufc2,-0.7729051298322549
Pmm1,Pmm1,-0.7734564143446279
Ddost,Ddost,-0.7782321563670379
Eci1,Eci1,-0.779826620216798
Dbi,Dbi,-0.7848862193645291
Spcs2,Spcs2,-0.786236938929996
Mtch1,Mtch1,-0.7868226177966191
Pla2g7,Pla2g7,-0.7877651277528391
Agpat1,Agpat1,-0.788851232167083
Ndufv2,Ndufv2,-0.7894053502428969
Chpt1,Chpt1,-0.793940419124088
Prkag1,Prkag1,-0.7959803054812721
Ptprd,Ptprd,-0.7985554840154592
Vdac2,Vdac2,-0.799405101769667
Carkd,Naxd,-0.80125570965034
Amot,Amot,-0.8034937656851271
Dner,Dner,-0.8055789053226741
Bmpr1a,Bmpr1a,-0.8091912675639151
Ndufs7,Ndufs7,-0.813065802754213
Tmco1,Tmco1,-0.817579024418827
Tspyl1,Tspyl1,-0.81801824357666
Gja1,Gja1,-0.821549004843463
Tmem47,Tmem47,-0.824201828162708
Def8,Def8,-0.82479100470048
Reep5,Reep5,-0.82655870983451
Cox5a,Cox5a,-0.8303728772812259
Gpd1,Gpd1,-0.8316041198850059
Slc7a10,Slc7a10,-0.832285189560016
Enpp2,Enpp2,-0.8335683236942341
Rcn2,Rcn2,-0.834667340732321
Asna1,Asna1,-0.8388140312573241
Paqr7,Paqr7,-0.8474343968490731
Akr7a5,Akr7a5,-0.8483575301435708
Slc38a3,Slc38a3,-0.8504856819003871
Timp3,Timp3,-0.851517673722332
Ramp1,Ramp1,-0.852023444241968
Cldn10,Cldn10,-0.855854228914721
Pfkl,Pfkl,-0.8563960779573171
Slc25a18,Slc25a18,-0.8570219948806159
Cuedc2,Cuedc2,-0.8588991915896671
Insig1,Insig1,-0.860140111025269
Tubb4a,Tubb4a,-0.8616561483753241
Tspan31,Tspan31,-0.862585513960945
Haghl,Haghl,-0.8665455341132471
Fads2,Fads2,-0.8672138560410779
Aqp4,Aqp4,-0.867976715056723
Msantd4,Msantd4,-0.869462772002567
Itm2c,Itm2c,-0.8711544237275849
Slc35a2,Slc35a2,-0.872688394679907
Tmem147,Tmem147,-0.88133924109286
Ednrb,Ednrb,-0.881761365266408
Snrk,Snrk,-0.8827269161175602
Vhl,Vhl,-0.890405658506843
Txndc15,Txndc15,-0.893491917883803
Tppp,Tppp,-0.8953549740630871
Ahcyl1,Ahcyl1,-0.900519841216119
Me1,Me1,-0.9017070568840408
Car14,Car14,-0.903226962520854
Nkain4,Nkain4,-0.903358389947918
Arhgap5,Arhgap5,-0.9058576030339971
Tmem135,Tmem135,-0.913268670783139
Gbas,Nipsnap2,-0.9160442385726311
Fkbp3,Fkbp3,-0.9203978631142842
Sgce,Sgce,-0.9274141065703149
Prkag2,Prkag2,-0.9332497804158871
Ppp1r1a,Ppp1r1a,-0.933911070926477
Psd2,Psd2,-0.9344046986136371
Vta1,Vta1,-0.939219755629923
Tmx2,Tmx2,-0.9393865352263209
Nap1l1,Nap1l1,-0.942731559037019
Efhd1,Efhd1,-0.943563710460913
Txndc16,Txndc16,-0.9437382753839979
Dbp,Dbp,-0.950970445576342
Tpi1,Tpi1,-0.9516041509107579
Tuba4a,Tuba4a,-0.9561812419570509
Cdc37l1,Cdc37l1,-0.95658405231199
Gpm6a,Gpm6a,-0.956610671011874
Ntsr2,Ntsr2,-0.9619597143726859
Ptgr2,Ptgr2,-0.9628997557836371
Tmem205,Tmem205,-0.9653970395309951
4-sep,4-sep,-0.970946020840117
Hdac2,Hdac2,-0.9716721473155229
Gm20300,Gm20300,-0.973825251932902
Sfxn5,Sfxn5,-0.986691047412712
Enoph1,Enoph1,-0.9878786274372751
Adcy2,Adcy2,-0.987960799029916
Mboat2,Mboat2,-0.989395319948515
Mtx1,Mtx1,-0.9902029235450479
Fnbp1l,Fnbp1l,-0.9904972921093929
Ncan,Ncan,-0.992477641760996
Cmtm5,Cmtm5,-0.997480188015821
Txndc5,Txndc5,-0.9987979275016979
Tmem33,Tmem33,-1.00162072735205
Marcks,Marcks,-1.01034466426731
Ergic1,Ergic1,-1.01588225547383
Cnih1,Cnih1,-1.01762683212383
Ctnna2,Ctnna2,-1.0318206399121401
Mgll,Mgll,-1.03205842204148
Atp5g1,Atp5g1,-1.0338146298913802
Gnb5,Gnb5,-1.03926833539802
Hey2,Hey2,-1.0418375756059202
Anapc4,Anapc4,-1.0423567295988299
Adi1,Adi1,-1.04426448081779
G6pc3,G6pc3,-1.04504177521596
Ppa2,Ppa2,-1.0518665084230199
Wls,Wls,-1.0533875642975201
Ptplad1,Hacd3,-1.05525009548104
Zfp503,Zfp503,-1.0614095219036899
Alpl,Alpl,-1.06304916511102
Lmf1,Lmf1,-1.06940506072622
Sccpdh,Sccpdh,-1.07517599423908
Hlf,Hlf,-1.07635163334953
Omg,Omg,-1.07950220706366
Endog,Endog,-1.08184052654559
Tmc7,Tmc7,-1.08482337626656
1110051m20rik,1110051m20rik,-1.08562789155829
Entpd5,Entpd5,-1.0856340836701899
Btbd3,Btbd3,-1.08567802849281
