term,genes
Myc,Adamts1;Arl6ip1;Atf4;Bag1;Bcl2l1;Bmpr1a;Brd2;Camk2n1;Capn2;Ccnd2;Cdkn1a;Cebpd;Clec3b;Col1a1;Col4a2;Ctnna1;Cxcl10;Dbi;Dusp4;Eif4g1;Ezr;Fads2;Farp1;Fbln5;Fgfr1;Fkbp5;Fos;Fth1;Gadd45b;Gbp2;Gja1;Hdac2;Hspb1;Icam1;Idh2;Irf7;Irf9;Ldha;Lgals1;Lxn;Macf1;Mapk3;Mat2a;Mcl1;Msn;Mt1;Myo1c;Nap1l1;Nf2;Oasl2;Pfkl;Ppard;Ppp1r15a;Prdx2;Psat1;Psmb8;Ptn;Rarg;Rpl41;Rsad2;Rtn2;S100a6;Sat1;Sfxn1;Slc22a4;Slc25a5;Smad1;Sox2;Spp1;Stat3;Sycp3;Tgm1;Timp1;Tle1;Tmsb4x;Tnfrsf12a;Tspan7;Usp18;Usp54;Vdac2;Vhl;Vim;Vldlr;Wls
Mycn,Amotl2;Arpc1b;Bcl2l1;Ccnd2;Ccnh;Cdkn1a;Col1a1;E2f5;Eef1a1;Fkbp9;Hdac2;Lgals1;Phgdh;Ptdss1;Rpl4;Rpl41;Sdc2;Tgm2;Tnfrsf1a;Vim;Zyx
Myocd,Atf4;Bcl2l1;Cdkn1a;Col1a1;Fos;Gja1;Hey2;Mylk
Ncoa1,Calm1;Cdkn1a;Dbp;Fos;Gjb2;Junb;Mapk3;Nfkbiz;Ppard;Sorbs1;Thrsp;Tle1
Nfatc2,Bcl2l1;Cdkn1a;Cmpk2;Cxcl10;E2f5;Enpp2;Ifit2;Ifit3;Iigp1;Irf1;Irf7;Mapk3;Nfkbiz;Rsad2;Socs3;Stat1
Nfe2l2,Atf4;Bcl2l1;Calm1;Cdkn1a;Col1a1;Col4a2;Coq7;Cxcl10;Cybb;Dhcr7;Entpd5;Erp29;Fkbp5;Fth1;Gnai2;Gpx1;Gpx3;Gsta4;Ifrd1;Maff;Map1lc3b;Me1;Mgll;Mt1;Phgdh;Psat1;Sat1;Slc1a4;Slc35a2;Socs3;Sqstm1;Taldo1;Thrsp;Tmed2
Nfix,Clec3b;Slc25a5
Nfkb1,Adora1;Bcl2l1;Bcl3;Ccnd2;Cdkn1a;Col1a1;Cxcl10;Cybb;Cyr61;Enpp2;Fos;Gfra1;Gja1;Icam1;Irf1;Lgals1;Mat2a;Mcl1;Prkcd;Saa3;Stat1;Stim1
Nfkb2,Bcl2l1;Cdkn1a;Cxcl12;Fos;Mat2a;Stim1
Nfkbia,Ampd3;Bcl2l1;Bcl3;Ccnd2;Cdkn1a;Cebpd;Cp;Ctnna1;Cxcl10;Cxcl12;Enpp2;Fos;Gadd45b;Gas5;Gbp2;Gpx3;Icam1;Irf1;Junb;Lcn2;Mt1;Ncan;Ptp4a2;Rpsa;Saa3;Sat1;Socs3;Timp1;Timp3;Tmem176b
Nfya,Calr;Cdkn1a;Col5a3;Fth1;Gadd45b;Icam1;Irf1;Junb;Thrsp
Nkx2-3,Adamtsl2;Agap3;Alpl;Angptl4;Cd34;Cmpk2;Eif2ak2;Galnt15;Gbp2;Gng12;Hey2;Phgdh;Psat1;Psmb8;Reep1;Rtp4;Stat1;Usp18;Xaf1;Zc3hav1;Znfx1
Nkx3-1,Fos;Ptp4a2;Ramp1;Smad1;Stat3
Notch1,Bcl2l1;Ccnd2;Cd14;Cdkn1a;Cebpd;Col1a1;Cyr61;Fabp7;Fcgr2b;Fos;Hey2;Icam1;Igfbp4;Irf1;Mpz;Mylk;Ndufv2;Rlbp1;Spp1;Spry2;Tspan33
Notch3,Apod;Arhgef4;Cdkn1a;Fabp7;Hey2;Sdc2
Pax3,Bcl2l1;Cdkn1a;Cnr1;Cttn;Dnm1;Fabp7;Olfm1;Phgdh;Rlbp1;Snrk;Timp3;Tspan3;Tspan7;Ywhae
Pbx1,Cdkn1a;Col1a1;Cybb;Fabp7;Stat3
Pdx1,Atf4;Camk2n1;Cdo1;Col1a1;Fgfr1;Gap43;Gng12;Hap1;Insig1;Junb;Lxn;Marcks;Mt1;Phgdh;Pnpo;Ppp1r1a;Rsad2;Spp1;Wfs1
Pias2,Cdkn1a;Fos;Irf1
Pias3,Bcl2l1;Fth1
Pitx2,Ccnd2;Dhrs7b;Idh2;Kctd1;Ndufa13;Ndufc2;Ndufs7;Plod2;Prdx2;Sdhc;Sox2;Vim
Pou5f1,Bag1;Bmpr1a;Cdkn1a;Cidea;Cxcl10;Dusp4;Farp1;Macf1;Mcl1;Nf2;Oasl2;Sirpa;Smad1;Sox2;Spp1;Stim1;Tgm1;Tnfrsf1a;Usp18;Vim;Wls
Ppargc1a,Cdc42ep1;Cdkn1a;Cebpd;Cidea;Cox5a;Endog;Fndc5;Gpx1;Insig1;Me1;Ndufv2;Pnpla2;Slc39a14;Socs3;Tnfrsf12a;Ucp2
Ppargc1b,Cidea;Cox5a;Mvk;Ndufv2;Sqle
Prdm1,Alpl;Angptl4;Crispld2;Fndc5;Fos;Fth1;Gsta4;Lgals1;Mcl1;Me1;Psd2;Psmb10;Psmb8;Rsad2;Tapbp;Tnfaip6
Rel,Bcl2l1;Bcl3;Ccnd2;Cdkn1a;Cldn10;Cxcl10;Endog;Fads2;Fos;Gadd45b;Icam1;Iigp1;Kpna3;Phgdh;Rsad2;Sorbs1;Stat3;Vim
Rela,Bcl2l1;Bcl3;Cd14;Cdkn1a;Col1a1;Cttn;Cxcl10;Cybb;Fos;Icam1;Irf1;Irf7;Junb;Mat2a;Nf2;Prkcd;Psmb10;S100a6;Saa3;Stim1;Tapbp;Tgm2;Vhl;Vim
